group_id	items_in_group	lo_value	p	FDR	goodsgrna
hDel_1111__0	10	1.6200e-08	1.4360e-07	0.002475	5
hDel_2139__0	12	2.9622e-07	1.4360e-07	0.002475	4
hDel_6091__500	7	1.9692e-06	1.8668e-06	0.021452	3
hDel_1595__0	12	1.0872e-05	7.3234e-06	0.050495	3
hDel_578__500	6	1.4568e-05	2.1970e-05	0.077661	2
hDel_523__0	14	1.5550e-05	1.5652e-05	0.077661	3
hDel_3825__0	11	1.7297e-05	6.1747e-06	0.050495	3
hDel_1117__14250	7	1.9389e-05	2.4124e-05	0.077661	2
hDel_5689__0	7	1.9389e-05	2.4124e-05	0.077661	2
hDel_6776__750	8	3.1847e-05	4.5807e-05	0.078960	3
hDel_349__0	9	3.3195e-05	3.1304e-05	0.077661	3
hDel_1117__14000	9	3.3195e-05	3.1304e-05	0.077661	2
hDel_6468__1250	9	3.3616e-05	4.5520e-05	0.078960	2
hDel_523__-250	18	3.4492e-05	3.8628e-05	0.078334	3
hDel_349__250	10	4.1467e-05	3.6043e-05	0.077661	2
hDel_5689__250	10	4.1467e-05	3.6043e-05	0.077661	2
hDel_5595__250	10	4.1467e-05	3.6043e-05	0.077661	2
hDel_293__750	10	4.1467e-05	3.6043e-05	0.077661	2
hDel_5825__-250	10	4.4487e-05	6.1890e-05	0.101603	3
hDel_5858__-250	11	5.0650e-05	4.3510e-05	0.078960	2
hDel_6304__0	16	5.6154e-05	3.5468e-05	0.077661	3
hDel_5825__0	11	6.0837e-05	7.6537e-05	0.111386	3
hDel_5245__1750	10	7.6538e-05	8.4004e-05	0.111386	3
hDel_5245__2000	10	7.6538e-05	8.4004e-05	0.111386	3
hDel_6624__0	14	1.1494e-04	1.2306e-04	0.141419	3
hDel_6062__-250	13	1.4199e-04	1.3886e-04	0.148622	3
hDel_3023__0	7	1.5982e-04	7.7686e-05	0.111386	2
hDel_7037__0	10	1.6658e-04	1.6815e-04	0.148622	2
hDel_1314__250	7	1.6796e-04	7.7686e-05	0.111386	2
hDel_2143__0	9	1.7659e-04	1.2163e-04	0.141419	2
hDel_6999__-250	14	1.8201e-04	1.7160e-04	0.148622	3
hDel_6034__-250	11	1.8902e-04	2.3909e-04	0.164851	3
hDel_361__16750	8	2.4398e-04	1.0784e-04	0.137697	2
hDel_2945__0	10	2.6238e-04	1.9802e-04	0.148622	2
