sgRNA	Gene	t0_C3624K	rep1_C3624K	rep2_C3624K
hDel_2369:185	hDel_2369	7856	5123	6558
hDel_6304:116	hDel_6304	4273	4027	5077
hDel_5650:45	hDel_5650	4008	4333	6458
hDel_4603:130	hDel_4603	4083	3254	3498
hDel_1003:84	hDel_1003	2722	1971	3562
hDel_6833:54	hDel_6833	6841	7705	6954
hDel_1062:84	hDel_1062	2901	2101	2990
hDel_4720:158	hDel_4720	4371	2952	4379
hDel_3090:138	hDel_3090	4083	4331	3648
hDel_500:182	hDel_500	3811	3217	3790
hDel_7085:7	hDel_7085	2153	2773	2600
hDel_2020:469	hDel_2020	2406	3032	2534
hDel_7044:78	hDel_7044	3745	3923	4090
hDel_6635:63	hDel_6635	4652	5338	5320
hDel_4390:89	hDel_4390	1617	1588	1073
hDel_6973:67	hDel_6973	5565	5328	3857
hDel_5075:92	hDel_5075	2851	2665	3065
hDel_6098:33	hDel_6098	5284	4171	4417
hDel_5964:58	hDel_5964	4545	3907	4322
hDel_4410:22	hDel_4410	2356	1796	1803
hDel_3596:132	hDel_3596	1396	1561	1499
hDel_6226:115	hDel_6226	5038	4463	4841
hDel_5508:83	hDel_5508	1979	300	173
hDel_1635:69	hDel_1635	3105	3611	4069
hDel_6234:58	hDel_6234	4122	4574	4554
hDel_5488:47	hDel_5488	2727	2724	3340
hDel_4405:122	hDel_4405	2782	2418	2369
hDel_6119:112	hDel_6119	2777	2752	3956
hDel_7179:174	hDel_7179	2983	3308	3900
hDel_6119:136	hDel_6119	5899	6050	6976
hDel_4397:219	hDel_4397	3244	3155	3378
hDel_5689:308	hDel_5689	3356	3108	3186
hDel_4543:19	hDel_4543	3602	3073	4269
hDel_6418:93	hDel_6418	2630	2697	3124
hDel_149:159	hDel_149	2872	3750	4491
hDel_6234:186	hDel_6234	1191	1085	1464
hDel_1629:150	hDel_1629	2204	1813	2456
hDel_6904:25	hDel_6904	2221	2779	1676
hDel_647:46	hDel_647	4938	4668	4547
hDel_3623:39	hDel_3623	3506	3021	3060
hDel_7077:112	hDel_7077	3028	2940	3543
hDel_7235:443	hDel_7235	2402	2311	2871
hDel_6849:305	hDel_6849	2655	2623	3187
hDel_366:7	hDel_366	2514	2394	3511
hDel_399:229	hDel_399	3100	2840	3187
hDel_6269:78	hDel_6269	3217	2465	3675
hDel_51:94	hDel_51	3277	4100	5214
hDel_6503:119	hDel_6503	2484	2278	2896
hDel_2369:144	hDel_2369	4723	4424	5024
hDel_11:72	hDel_11	3322	2975	3521
hDel_5738:84	hDel_5738	2712	2418	3135
hDel_3373:98	hDel_3373	4487	3788	4198
hDel_6552:61	hDel_6552	2086	2398	2520
hDel_3883:47	hDel_3883	2961	1558	2020
hDel_7002:95	hDel_7002	2272	1517	2086
hDel_94:354	hDel_94	1841	1590	2166
hDel_6418:45	hDel_6418	3071	2758	3263
hDel_6663:111	hDel_6663	4460	3778	3951
hDel_6899:218	hDel_6899	4865	259	331
hDel_2950:15	hDel_2950	2356	3556	3216
hDel_766:80	hDel_766	4855	4327	3637
hDel_4283:187	hDel_4283	4603	3719	3607
hDel_94:278	hDel_94	4635	5398	3873
hDel_6304:169	hDel_6304	3228	4037	5622
hDel_1904:5	hDel_1904	1768	1280	1133
hDel_1595:3	hDel_1595	3303	2962	2675
hDel_7056:148	hDel_7056	3032	2666	2653
panTro6_CTRL1219	panTro6_CTRL	5028	4776	6831
panTro6_CTRL166	panTro6_CTRL	4561	4728	4166
hDel_1939:2	hDel_1939	2453	3040	4014
hDel_5736:130	hDel_5736	5640	5562	6376
hDel_1306:166	hDel_1306	2763	2355	2730
hDel_399:214	hDel_399	4718	4154	4992
hDel_922:16	hDel_922	3598	3137	4442
hDel_4149:120	hDel_4149	4183	3094	4254
hDel_3426:143	hDel_3426	5120	6296	6996
hDel_681:149	hDel_681	2435	2492	3452
hDel_532:115	hDel_532	5407	5098	7182
hDel_4443:35	hDel_4443	3408	3571	3953
hDel_1455:38	hDel_1455	3945	3231	3438
hDel_3130:84	hDel_3130	2429	2113	3260
hDel_7179:434	hDel_7179	3596	2846	3789
hDel_3037:20	hDel_3037	3241	2874	3380
hDel_4601:44	hDel_4601	3570	3538	4446
hDel_94:453	hDel_94	2706	2201	2910
hDel_4169:93	hDel_4169	4168	3647	4740
hDel_5964:35	hDel_5964	1860	1721	1515
hDel_4859:158	hDel_4859	3070	3280	3438
hDel_6503:85	hDel_6503	2999	2282	3674
hDel_5804:67	hDel_5804	1805	1649	2153
hDel_500:116	hDel_500	518	372	744
hDel_4706:46	hDel_4706	4677	4268	5810
hDel_4204:30	hDel_4204	4707	4443	5157
panTro6_CTRL1737	panTro6_CTRL	2414	2676	3126
hDel_3326:217	hDel_3326	4584	3512	4472
hDel_7028:64	hDel_7028	3147	1866	2129
hDel_6528:106	hDel_6528	2756	3070	4076
hDel_4623:185	hDel_4623	2712	3545	3034
hDel_6468:38	hDel_6468	2151	2421	1760
hDel_5958:18	hDel_5958	4819	3182	4645
hDel_4229:102	hDel_4229	4586	5707	4597
hDel_928:9	hDel_928	4373	2751	3968
hDel_4381:89	hDel_4381	2783	2797	3039
panTro6_CTRL2802	panTro6_CTRL	4437	5364	4702
hDel_6456:104	hDel_6456	5772	4343	5495
hDel_3035:73	hDel_3035	3369	3479	3364
hDel_6758:11	hDel_6758	4009	3530	3708
hDel_1231:20	hDel_1231	2951	3535	3952
hDel_6904:61	hDel_6904	4659	3310	5103
hDel_5084:20	hDel_5084	2395	3030	3549
FNBP4:2	FNBP4	3212	455	787
hDel_3879:90	hDel_3879	2359	2409	2543
hDel_4172:58	hDel_4172	2934	3845	3879
hDel_6631:32	hDel_6631	5154	4321	4266
hDel_3181:94	hDel_3181	2141	2362	4335
hDel_3239:63	hDel_3239	3023	2810	3477
panTro6_CTRL1907	panTro6_CTRL	5489	5938	5510
hDel_500:71	hDel_500	5512	6214	7211
hDel_6188:44	hDel_6188	3089	2879	3573
hDel_2684:72	hDel_2684	2388	1818	2751
hDel_51:39	hDel_51	3108	3414	3749
hDel_146:48	hDel_146	5883	7227	6976
hDel_6009:81	hDel_6009	6354	6172	6676
hDel_399:189	hDel_399	6566	5266	5026
