group_id	items_in_group	lo_value	p	FDR	goodsgrna
hDel_349__250	19	6.2624e-12	1.4893e-07	0.000250	9
hDel_6012__500	11	5.2738e-10	1.4893e-07	0.000250	6
hDel_5689__1750	36	3.2614e-06	4.4678e-07	0.000500	6
hDel_6503__250	20	2.3844e-05	5.2124e-06	0.003497	3
hDel_361__17000	22	3.1690e-05	4.9146e-06	0.003497	3
hDel_349__0	12	8.5805e-05	2.6956e-05	0.015068	5
hDel_5068__4250	27	1.0551e-04	3.3806e-05	0.016198	6
hDel_1611__500	10	1.2661e-04	4.5721e-05	0.019168	3
hDel_3130__2250	20	1.9761e-04	6.8655e-05	0.025586	3
hDel_7051__250	13	2.0675e-04	7.6995e-05	0.025824	3
hDel_4859__7750	12	3.1434e-04	1.2614e-04	0.031868	4
hDel_5738__117750	13	3.5022e-04	1.2972e-04	0.031868	4
hDel_5736__0	10	3.8671e-04	1.1840e-04	0.031868	3
hDel_5669__2250	11	4.1705e-04	1.4252e-04	0.031868	2
hDel_2143__0	12	4.9953e-04	1.9256e-04	0.040366	3
hDel_5980__4250	44	5.0753e-04	1.3686e-04	0.031868	8
hDel_6633__4500	32	6.8315e-04	2.6822e-04	0.052198	5
hDel_779__2250	14	6.8621e-04	2.8013e-04	0.052198	2
hDel_293__1000	27	9.4811e-04	3.4834e-04	0.059366	5
hDel_6088__2750	6	9.7497e-04	3.5400e-04	0.059366	3
hDel_3303__17500	14	1.0248e-03	4.8237e-04	0.067375	4
hDel_2139__0	18	1.1452e-03	4.6778e-04	0.067375	3
hDel_5488__4250	23	1.2611e-03	5.1663e-04	0.067375	6
hDel_11__0	6	1.2709e-03	4.9876e-04	0.067375	2
hDel_4397__3500	36	1.3282e-03	5.1514e-04	0.067375	4
hDel_5864__1250	23	1.3498e-03	5.8067e-04	0.070055	4
hDel_3869__3750	7	1.4849e-03	5.2229e-04	0.067375	3
hDel_149__500	20	1.5500e-03	5.8484e-04	0.070055	5
hDel_2613__8000	19	1.6537e-03	7.4002e-04	0.082734	4
hDel_5286__1500	37	1.7102e-03	6.7628e-04	0.078215	7
hDel_6274__1750	6	1.7927e-03	8.1597e-04	0.086897	2
hDel_1232__2000	12	1.9820e-03	1.1198e-03	0.096301	3
hDel_2610__1000	18	2.0633e-03	8.2908e-04	0.086897	4
hDel_6624__0	25	2.2168e-03	1.0909e-03	0.096301	3
hDel_6190__7500	9	2.2444e-03	8.6422e-04	0.087836	2
hDel_4261__0	21	2.3600e-03	9.7532e-04	0.093464	4
hDel_3426__1000	34	2.4249e-03	9.0801e-04	0.089572	5
hDel_6632__2750	23	2.4991e-03	1.0546e-03	0.096301	3
hDel_1249__4250	11	2.5607e-03	1.4024e-03	0.114727	4
hDel_4397__3250	28	2.7777e-03	1.2032e-03	0.100887	4
hDel_5980__4000	49	2.9025e-03	1.1165e-03	0.096301	5
hDel_6663__0	31	3.5905e-03	1.6035e-03	0.128051	3
hDel_4154__1750	5	3.6124e-03	1.8424e-03	0.140439	2
hDel_6631__2000	19	3.8906e-03	2.0848e-03	0.152011	3
hDel_3869__3250	18	4.0202e-03	2.1447e-03	0.153049	3
hDel_514__6500	41	4.1803e-03	1.7176e-03	0.133971	5
hDel_5311__250	5	4.1903e-03	2.0166e-03	0.150305	2
hDel_6057__6750	7	4.7441e-03	2.6181e-03	0.175624	3
hDel_6502__0	14	4.7785e-03	2.4294e-03	0.167924	4
hDel_5337__2000	12	4.9069e-03	2.4533e-03	0.167924	3
hDel_5940__750	16	6.0377e-03	3.4115e-03	0.190701	2
hDel_4410__0	26	6.2722e-03	2.8464e-03	0.178340	5
hDel_5084__1250	29	6.3502e-03	3.2628e-03	0.188682	5
hDel_4397__3750	32	6.4643e-03	2.8652e-03	0.178340	4
hDel_6144__1000	21	6.4991e-03	3.6292e-03	0.196328	4
hDel_149__1000	26	6.5408e-03	3.0722e-03	0.180775	4
hDel_118__4750	11	6.6471e-03	2.9245e-03	0.178340	3
hDel_6304__0	38	6.6642e-03	2.9894e-03	0.179044	5
hDel_4759__250	6	6.7471e-03	3.8127e-03	0.202980	2
hDel_4397__1250	44	6.7502e-03	2.8655e-03	0.178340	5
hDel_2238__1250	13	6.9455e-03	3.5604e-03	0.195763	3
hDel_4901__500	5	7.1981e-03	2.9191e-03	0.178340	2
hDel_1608__1250	11	7.2158e-03	3.3206e-03	0.188769	2
hDel_2952__2500	20	7.6358e-03	4.1734e-03	0.208918	4
hDel_6633__750	17	7.7317e-03	4.3405e-03	0.214087	3
hDel_53__1500	22	7.7748e-03	4.4596e-03	0.216776	4
hDel_1168__2250	8	7.8066e-03	4.7116e-03	0.217323	2
hDel_6867__250	18	7.9076e-03	4.1034e-03	0.208526	4
hDel_5025__8250	9	8.0101e-03	4.6505e-03	0.217323	2
hDel_51__0	12	8.1842e-03	3.9723e-03	0.205049	3
hDel_6520__750	6	8.8303e-03	3.9738e-03	0.205049	2
hDel_1478__5500	17	8.8443e-03	5.0282e-03	0.221903	3
hDel_1106__250	32	9.2511e-03	4.7861e-03	0.217323	3
hDel_5623__500	19	9.3864e-03	4.8403e-03	0.217323	3
hDel_2311__2500	13	9.5622e-03	4.7149e-03	0.217323	2
hDel_6125__1000	22	9.5862e-03	5.5992e-03	0.234563	4
hDel_450__1500	18	1.0251e-02	5.5864e-03	0.234563	4
hDel_4736__4250	23	1.0417e-02	6.3048e-03	0.234563	4
hDel_3591__0	9	1.0862e-02	7.3768e-03	0.234563	3
hDel_5660__1250	19	1.0884e-02	6.0126e-03	0.234563	3
hDel_1927__7500	14	1.0907e-02	5.7654e-03	0.234563	3
hDel_6144__1250	9	1.1104e-02	7.3771e-03	0.234563	3
hDel_4166__11000	6	1.1119e-02	4.8596e-03	0.217323	2
hDel_2657__1250	10	1.1370e-02	7.2976e-03	0.234563	3
hDel_6206__750	11	1.1423e-02	5.5069e-03	0.234563	3
hDel_5340__0	15	1.1515e-02	6.3805e-03	0.234563	2
hDel_2967__500	23	1.1758e-02	6.9949e-03	0.234563	4
hDel_4263__7750	26	1.1847e-02	6.3671e-03	0.234563	3
hDel_3013__4500	20	1.1903e-02	6.2697e-03	0.234563	2
hDel_4061__250	19	1.2146e-02	6.6021e-03	0.234563	4
hDel_6418__108750	28	1.2297e-02	6.5282e-03	0.234563	3
hDel_6849__1500	25	1.2351e-02	7.2830e-03	0.234563	4
hDel_923__6750	7	1.2433e-02	5.9501e-03	0.234563	2
hDel_4985__5500	26	1.2480e-02	6.8859e-03	0.234563	4
hDel_494__5750	14	1.2526e-02	6.3903e-03	0.234563	3
hDel_6076__500	18	1.2937e-02	6.8806e-03	0.234563	4
hDel_6878__4000	16	1.3168e-02	7.8569e-03	0.235287	2
hDel_2028__750	8	1.3201e-02	8.3499e-03	0.237675	2
hDel_3711__2750	18	1.3410e-02	7.0298e-03	0.234563	2
hDel_4393__500	32	1.3599e-02	6.4624e-03	0.234563	3
hDel_6418__186750	5	1.3807e-02	6.7900e-03	0.234563	1
hDel_6274__0	5	1.3807e-02	6.7900e-03	0.234563	1
hDel_928__0	5	1.3807e-02	6.7900e-03	0.234563	1
hDel_3310__16750	5	1.3975e-02	7.0238e-03	0.234563	1
hDel_6656__1250	26	1.4037e-02	8.4103e-03	0.237675	3
hDel_6633__0	26	1.4124e-02	8.4103e-03	0.237675	4
hDel_4479__2500	9	1.4475e-02	1.0250e-02	0.240399	2
hDel_1110__1750	36	1.4496e-02	7.5704e-03	0.235287	4
hDel_5959__0	7	1.4524e-02	6.8853e-03	0.234563	2
hDel_1608__1000	22	1.4832e-02	7.7009e-03	0.235287	4
hDel_4601__250	8	1.4834e-02	8.3502e-03	0.237675	2
hDel_5488__4000	35	1.5055e-02	7.7643e-03	0.235287	5
hDel_2347__2000	6	1.5278e-02	6.8049e-03	0.234563	2
hDel_3035__500	10	1.5317e-02	1.0609e-02	0.241492	3
hDel_766__250	21	1.5334e-02	8.5363e-03	0.237675	2
hDel_2952__500	10	1.5359e-02	1.0609e-02	0.241492	3
hDel_1608__0	37	1.5633e-02	7.4131e-03	0.234563	3
hDel_1478__6000	14	1.5739e-02	8.5998e-03	0.237675	3
hDel_6574__12000	30	1.5914e-02	8.9968e-03	0.237675	3
hDel_7235__10750	7	1.6274e-02	7.3869e-03	0.234563	2
hDel_7114__250	15	1.6349e-02	8.5042e-03	0.237675	3
hDel_5669__2000	19	1.6352e-02	8.6525e-03	0.237675	4
hDel_6633__4750	32	1.6353e-02	8.8119e-03	0.237675	5
hDel_4859__10750	9	1.6545e-02	1.1471e-02	0.249825	2
hDel_3838__1500	6	1.6545e-02	7.8531e-03	0.235287	1
hDel_2610__2250	6	1.6596e-02	7.8531e-03	0.235287	2
hDel_1249__3750	9	1.6814e-02	1.1471e-02	0.249825	2
hDel_1003__12750	14	1.7236e-02	9.2705e-03	0.237675	3
hDel_1003__1250	5	1.7351e-02	9.2661e-03	0.237675	2
hDel_6185__3250	7	1.7499e-02	7.9397e-03	0.235663	2
hDel_5037__750	11	1.8705e-02	1.2737e-02	0.250590	3
hDel_3060__1750	8	1.8880e-02	9.2095e-03	0.237675	2
hDel_1930__1500	23	1.8958e-02	1.0183e-02	0.240399	4
hDel_1385__1750	6	1.8959e-02	9.2831e-03	0.237675	2
hDel_4149__5750	7	1.9276e-02	9.1008e-03	0.237675	2
hDel_1005__500	7	1.9276e-02	9.1008e-03	0.237675	1
hDel_5964__250	7	1.9276e-02	9.1008e-03	0.237675	1
hDel_6418__103500	7	1.9276e-02	9.1008e-03	0.237675	1
hDel_5689__1250	30	1.9284e-02	1.0544e-02	0.241492	4
hDel_6146__3250	22	1.9407e-02	1.1437e-02	0.249825	4
hDel_2239__250	20	1.9477e-02	1.0656e-02	0.241492	2
hDel_4623__250	17	1.9487e-02	1.1689e-02	0.250590	3
hDel_7002__6000	18	1.9619e-02	1.2587e-02	0.250590	3
hDel_4229__6000	19	1.9654e-02	1.1866e-02	0.250590	3
hDel_1249__4000	19	1.9731e-02	1.1866e-02	0.250590	3
hDel_4859__6750	27	1.9904e-02	1.3312e-02	0.253675	4
hDel_172__5000	18	2.0036e-02	1.2821e-02	0.250590	2
hDel_5810__500	23	2.0552e-02	1.1400e-02	0.249825	2
hDel_6468__750	25	2.0693e-02	1.1838e-02	0.250590	2
hDel_2823__1500	12	2.0788e-02	1.4383e-02	0.265056	3
hDel_1003__6750	6	2.0794e-02	1.0568e-02	0.241492	2
hDel_422__1000	6	2.1414e-02	1.0900e-02	0.245362	2
hDel_6574__11750	32	2.1547e-02	1.2415e-02	0.250590	5
hDel_553__1250	25	2.1692e-02	1.2320e-02	0.250590	2
hDel_1058__0	8	2.1999e-02	1.0208e-02	0.240399	1
hDel_1997__2250	8	2.1999e-02	1.0208e-02	0.240399	1
hDel_845__250	8	2.1999e-02	1.0208e-02	0.240399	1
hDel_1997__0	8	2.1999e-02	1.0208e-02	0.240399	1
hDel_6106__0	8	2.1999e-02	1.0208e-02	0.240399	2
hDel_6098__0	8	2.1999e-02	1.0208e-02	0.240399	1
hDel_5738__67750	8	2.1999e-02	1.0208e-02	0.240399	1
hDel_1635__500	8	2.1999e-02	1.0208e-02	0.240399	1
